week,home_team,away_team,home_score,away_score,model_home_win_prob,model_away_win_prob,edge_spread,edge_moneyline
1,ATL,TB,20,23,0.25,0.75,0.0,0.0
1,BUF,BAL,41,40,0.75,0.25,0.0,0.0
1,CHI,MIN,24,27,0.25,0.75,0.0,0.0
1,CLE,CIN,16,17,0.25,0.75,0.0,0.0
1,DEN,TEN,20,12,0.75,0.25,0.0,0.0
1,GB,DET,27,13,0.75,0.25,0.0,0.0
1,IND,MIA,33,8,0.75,0.25,0.0,0.0
1,JAX,CAR,26,10,0.75,0.25,0.0,0.0
1,LAC,KC,27,21,0.75,0.25,0.0,0.0
1,LAR,HOU,14,9,0.75,0.25,0.0,0.0
1,NE,LV,13,20,0.25,0.75,0.0,0.0
1,NO,ARI,13,20,0.25,0.75,0.0,0.0
1,NYJ,PIT,32,34,0.25,0.75,0.0,0.0
1,PHI,DAL,24,20,0.75,0.25,0.0,0.0
1,SEA,SF,13,17,0.25,0.75,0.0,0.0
1,WSH,NYG,21,6,0.75,0.25,0.0,0.0
2,ARI,CAR,27,22,0.75,0.25,0.0,0.0
2,BAL,CLE,41,17,0.75,0.25,0.0,0.0
2,CIN,JAX,31,27,0.75,0.25,0.0,0.0
2,DAL,NYG,40,37,0.75,0.25,0.0,0.0
2,DET,CHI,52,21,0.75,0.25,0.0,0.0
2,GB,WSH,27,18,0.75,0.25,0.0,0.0
2,HOU,TB,19,20,0.25,0.75,0.0,0.0
2,IND,DEN,29,28,0.75,0.25,0.0,0.0
2,KC,PHI,17,20,0.25,0.75,0.0,0.0
2,LV,LAC,9,20,0.25,0.75,0.0,0.0
2,MIA,NE,27,33,0.25,0.75,0.0,0.0
2,MIN,ATL,6,22,0.25,0.75,0.0,0.0
2,NO,SF,21,26,0.25,0.75,0.0,0.0
2,NYJ,BUF,10,30,0.25,0.75,0.0,0.0
2,PIT,SEA,17,31,0.25,0.75,0.0,0.0
2,TEN,LAR,19,33,0.25,0.75,0.0,0.0
3,BAL,DET,30,38,0.25,0.75,0.0,0.0
3,BUF,MIA,31,21,0.75,0.25,0.0,0.0
3,CAR,ATL,30,0,0.75,0.25,0.0,0.0
3,CHI,DAL,31,14,0.75,0.25,0.0,0.0
3,CLE,GB,13,10,0.75,0.25,0.0,0.0
3,JAX,HOU,17,10,0.75,0.25,0.0,0.0
3,LAC,DEN,23,20,0.75,0.25,0.0,0.0
3,MIN,CIN,48,10,0.75,0.25,0.0,0.0
3,NE,PIT,14,21,0.25,0.75,0.0,0.0
3,NYG,KC,9,22,0.25,0.75,0.0,0.0
3,PHI,LAR,33,26,0.75,0.25,0.0,0.0
3,SEA,NO,44,13,0.75,0.25,0.0,0.0
3,SF,ARI,16,15,0.75,0.25,0.0,0.0
3,TB,NYJ,29,27,0.75,0.25,0.0,0.0
3,TEN,IND,20,41,0.25,0.75,0.0,0.0
3,WSH,LV,41,24,0.75,0.25,0.0,0.0
4,ARI,SEA,20,23,0.25,0.75,0.0,0.0
4,ATL,WSH,34,27,0.75,0.25,0.0,0.0
4,BUF,NO,31,19,0.75,0.25,0.0,0.0
4,DAL,GB,40,40,0.5,0.5,0.0,0.0
4,DEN,CIN,28,3,0.75,0.25,0.0,0.0
4,DET,CLE,34,10,0.75,0.25,0.0,0.0
4,HOU,TEN,26,0,0.75,0.25,0.0,0.0
4,KC,BAL,37,20,0.75,0.25,0.0,0.0
4,LAR,IND,27,20,0.75,0.25,0.0,0.0
4,LV,CHI,24,25,0.25,0.75,0.0,0.0
4,MIA,NYJ,27,21,0.75,0.25,0.0,0.0
4,NE,CAR,42,13,0.75,0.25,0.0,0.0
4,NYG,LAC,21,18,0.75,0.25,0.0,0.0
4,PIT,MIN,24,21,0.75,0.25,0.0,0.0
4,SF,JAX,21,26,0.25,0.75,0.0,0.0
4,TB,PHI,25,31,0.25,0.75,0.0,0.0
